ID,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Name_hash
99,M,30.0,181.0,79.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver,1654f641e0ba956041d97676262995597e834bc8433cd8a1d773f1c271a734d1
100,M,22.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Freestyle,,69a092c0a0ba34c8620c23340af70bd066b00d0d544030a5fa4b764cb4f99c56
100,M,22.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,69a092c0a0ba34c8620c23340af70bd066b00d0d544030a5fa4b764cb4f99c56
507,M,21.0,192.0,88.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,05f99743e5f4f1a53afcbd4f6d9f7bfb1f771cd7f7c1c7a979b12d3cea611543
507,M,21.0,192.0,88.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,05f99743e5f4f1a53afcbd4f6d9f7bfb1f771cd7f7c1c7a979b12d3cea611543
507,M,25.0,192.0,88.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,05f99743e5f4f1a53afcbd4f6d9f7bfb1f771cd7f7c1c7a979b12d3cea611543
733,F,16.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,,c9f8ea78e2b6b873d31c16e108ca9458b5ae4ed3ea1019b77ffa3b9c72fa597f
733,F,16.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,c9f8ea78e2b6b873d31c16e108ca9458b5ae4ed3ea1019b77ffa3b9c72fa597f
744,M,23.0,,,Hungary,HUN,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,,9ae56481dee0316f763a0fde1c8421b85042fe77bc244f2d07307cc4bfcd6348
778,M,20.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Water Polo,Water Polo Men's Water Polo,,ad2c4b87cca899899411b23a5bd2d7af89b5f69a711ce8da17e77608d60c49b9
797,M,23.0,175.0,71.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres,,3d781be2d0014e939afc16ed96b1c8f67d1a7b66787be8231216591bf64a2bcb
797,M,23.0,175.0,71.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,,3d781be2d0014e939afc16ed96b1c8f67d1a7b66787be8231216591bf64a2bcb
1007,M,22.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Cycling,"Cycling Men's Road Race, Individual",,22eacb58de67ccf537f21d3c9adfa1f77b5b7ed6dd8be02c82ac42842c5f7258
1007,M,22.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Cycling,"Cycling Men's Road Race, Team",,22eacb58de67ccf537f21d3c9adfa1f77b5b7ed6dd8be02c82ac42842c5f7258
1008,M,34.0,192.0,83.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,,28c59515da95ee0d8d1afba3467443bea8cc46c051d061e08e5f1872beb2a260
1025,M,30.0,189.0,87.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,f81aa6ba54f5e70e5bd0090e5b63c9058e21ff07a253d0b6d7fdf8628de093c7
1155,M,22.0,176.0,82.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",,031ff40d45f923c54f854f218cfdbf1a73d650f6789daa852e8ce94b13b0291a
1155,M,22.0,176.0,82.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",,031ff40d45f923c54f854f218cfdbf1a73d650f6789daa852e8ce94b13b0291a
1156,M,18.0,194.0,78.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,,30392dbe155b4ae2a945eea210aee751f426e3adb3b20f19f49bd76a50ccb525
1156,M,18.0,194.0,78.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle",,30392dbe155b4ae2a945eea210aee751f426e3adb3b20f19f49bd76a50ccb525
1157,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,,2f3a164fbe151f218252b57ef50d3a45288dfb00ca2fb310835715f1f922798c
1157,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,,2f3a164fbe151f218252b57ef50d3a45288dfb00ca2fb310835715f1f922798c
1157,M,21.0,187.0,78.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,,2f3a164fbe151f218252b57ef50d3a45288dfb00ca2fb310835715f1f922798c
1189,M,30.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,1e0c6971b9580f143b259ff676ff88a75435b851ef6a98fa574b09a6253d9cc6
1189,M,30.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,1e0c6971b9580f143b259ff676ff88a75435b851ef6a98fa574b09a6253d9cc6
1191,F,27.0,164.0,62.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Team",Gold,38b6ad687ec049e4fad6fc0da91805b3a8e0a94c58e2fc0b5e62aaaad2a9b938
1559,F,25.0,170.0,56.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Long Jump,,5f0dbe9b15303143c030def84251982df094451ea0a0cdd253a32d9ce082532a
1559,F,29.0,170.0,56.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Long Jump,,5f0dbe9b15303143c030def84251982df094451ea0a0cdd253a32d9ce082532a
1709,M,28.0,170.0,65.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Individual",,b62d6ec9003b0fe0b9a57d740d74116a18c26b8c181550e02c129897786ba6bf
